,precision,recall,f1-score,support
glioma_tumor,0.7587939698492462,0.8435754189944135,0.798941798941799,179.0
meningioma_tumor,0.7152777777777778,0.6094674556213018,0.65814696485623,169.0
no_tumor,0.7941176470588235,0.7714285714285715,0.782608695652174,70.0
pituitary_tumor,0.8957055214723927,0.9358974358974359,0.9153605015673981,156.0
accuracy,0.7909407665505227,0.7909407665505227,0.7909407665505227,0.7909407665505227
macro avg,0.7909737290395601,0.7900922204854306,0.7887644902544002,574.0
weighted avg,0.7874988879638858,0.7909407665505227,0.787136351936326,574.0
